"","DateTime","Flux_eos1","Temp_C_eos1","CO2_Soil_ppm_eos1","CO2_Soil_STD_ppm_eos1","CO2_ATM_ppm_eos1","CO2_ATM_STD_ppm_eos1","Mode"
"1",2019-07-10 11:23:17,0,0,0,0,0,0,1
"2",2019-07-10 11:30:00,1,23.9,326,5.28,269.07,8.175,1.75326
"3",2019-07-10 11:45:00,1.06,24.6,323.78,3.923,263.5,5.991,1.75468
"4",2019-07-10 12:00:00,0.85,23.4,318.7,5.256,270.22,4.221,1.75335
"5",2019-07-10 12:15:00,0.78,22.3,312.73,1.938,268.19,3.906,1.75297
"6",2019-07-10 12:30:00,0.85,22,317.81,3.869,269.31,2.495,1.75314
"7",2019-07-10 12:45:00,0.69,22.3,305.91,3.346,266.9,2.352,1.7536
"8",2019-07-10 13:00:00,-0.02,22.6,280.34,1.463,281.56,7.379,1.75364
"9",2019-07-10 13:15:00,1.21,22.7,339.41,6.375,270.74,0.919,1.75385
"10",2019-07-10 13:30:00,0.88,22.8,323.38,1.758,273.36,3.318,1.75385
"11",2019-07-10 13:45:00,0.86,22.8,319.48,5.429,270.63,2.453,1.75435
"12",2019-07-10 14:00:00,0.81,23.1,313.58,2.303,267.34,3.279,1.75401
"13",2019-07-10 14:15:00,0.73,22.9,316.49,3.307,274.83,4.788,1.75389
"14",2019-07-10 14:30:00,0.74,22.1,317.37,2.265,275.48,3.609,1.75372
"15",2019-07-10 14:45:00,0.75,21.8,314.05,3.146,271.38,4.243,1.75343
"16",2019-07-10 15:00:00,0.76,21.3,314.97,4.028,271.89,2.298,1.75276
"17",2019-07-10 15:15:00,0.73,20.6,313.62,3.289,272.12,3.214,1.75222
"18",2019-07-10 15:30:00,0.79,20,316.62,3.181,271.57,2.764,1.75126
"19",2019-07-10 15:45:00,0.8,19.5,318.38,4.381,273.03,3.043,1.7513
"20",2019-07-10 16:00:00,0.75,19.3,319.05,1.503,276.27,3.03,1.75114
"21",2019-07-10 16:15:00,0.8,19.1,320.1,1.688,274.46,3.924,1.75089
"22",2019-07-10 16:30:00,0.8,18.6,322.98,4.652,277.8,4.618,1.75005
"23",2019-07-10 16:45:00,0.86,17.9,322.54,2.672,273.74,2.103,1.74943
"24",2019-07-10 17:00:00,0.91,17.3,325.66,4.16,274.13,5.561,1.74922
"25",2019-07-10 17:15:00,0.9,16.8,328.4,5.06,277.51,3.051,1.74876
"26",2019-07-10 17:30:00,0.92,16.3,329.5,2.743,277.35,4.395,1.74814
"27",2019-07-10 17:45:00,0.91,15.7,330.24,5.273,278.79,3.674,1.7473
"28",2019-07-10 18:00:00,0.97,15,332.09,2.832,277.13,2.426,1.74672
"29",2019-07-10 18:15:00,1.01,14.4,336.23,3.162,278.86,3.666,1.74614
"30",2019-07-10 18:30:00,1.08,13.9,344.89,3.409,283.5,3.069,1.74614
"31",2019-07-10 18:45:00,1.14,13.6,348.3,3.696,283.45,4.267,1.74584
"32",2019-07-10 19:00:00,1.11,13.2,349.21,2.53,286.02,4.312,1.74555
"33",2019-07-10 19:15:00,1.28,12.9,356.77,4.685,284.33,5.439,1.74539
"34",2019-07-10 19:30:00,1.33,12.6,360.91,5.516,285.51,3.482,1.74535
"35",2019-07-10 19:45:00,1.3,12.3,360.68,6.616,287.12,5.117,1.74526
"36",2019-07-10 20:00:00,1.41,12.1,365.31,4.832,285.06,3.91,1.74484
"37",2019-07-10 20:15:00,1.47,11.8,369.24,6.877,285.68,4.821,1.74493
"38",2019-07-10 20:30:00,1.43,11.6,368.79,5.838,287.87,2.006,1.74447
"39",2019-07-10 20:45:00,1.52,11.5,373.18,6.983,287.14,2.957,1.74476
"40",2019-07-10 21:00:00,1.5,11.2,374.53,6.425,289.51,4.436,1.74443
"41",2019-07-10 21:15:00,1.52,11,378.13,5.242,291.69,7.334,1.74426
"42",2019-07-10 21:30:00,1.6,10.8,381.68,5.984,290.74,5.912,1.74397
"43",2019-07-10 21:45:00,1.67,10.6,387.28,4.414,292.55,7.585,1.74393
"44",2019-07-10 22:00:00,1.64,10.5,384.44,5.298,291.17,4.744,1.74397
"45",2019-07-10 22:15:00,1.79,10.4,391.71,5.753,290.34,5.171,1.74384
"46",2019-07-10 22:30:00,1.72,10.3,390.64,6.111,292.81,6.914,1.74418
"47",2019-07-10 22:45:00,1.76,10.3,395,5.869,295.22,5.127,1.74397
"48",2019-07-10 23:00:00,1.78,10.2,393.1,4.515,292.29,5.567,1.74393
"49",2019-07-10 23:15:00,1.89,10.2,401.88,6.928,294.58,5.383,1.74401
"50",2019-07-10 23:30:00,1.97,10.3,407.79,7.012,295.84,6.42,1.74422
"51",2019-07-10 23:45:00,1.91,10.3,405.77,6.851,297.45,4.321,1.74447
"52",2019-07-11 00:00:00,1.87,10.3,401.84,4.905,295.86,7.259,1.74414
"53",2019-07-11 00:15:00,1.96,10.2,408.4,6.206,297.24,7.437,1.74439
"54",2019-07-11 00:30:00,2.09,10.1,414.25,6.668,295.75,5.447,1.74439
"55",2019-07-11 00:45:00,2.03,10.2,414.72,5.571,299.48,4.526,1.74422
"56",2019-07-11 01:00:00,2.11,10.4,418.71,6.871,298.98,9.137,1.74484
"57",2019-07-11 01:15:00,2.02,10.6,416.4,6.246,301.67,6.183,1.74484
"58",2019-07-11 01:30:00,2.08,10.8,420.88,7.428,302.67,4.564,1.74535
"59",2019-07-11 01:45:00,2.21,10.8,424.59,7.06,298.9,6.575,1.74501
"60",2019-07-11 02:00:00,2.18,11,425.11,6.619,301.4,7.619,1.74539
"61",2019-07-11 02:15:00,2.18,11,426.37,7.083,302.46,4.031,1.74526
"62",2019-07-11 02:30:00,2.28,11.1,430.2,7.76,300.97,6.983,1.74551
"63",2019-07-11 02:45:00,2.2,11.2,429.21,6.455,304.41,7.444,1.74572
"64",2019-07-11 03:00:00,2.27,11.2,430.15,6.607,301.08,6.015,1.74568
"65",2019-07-11 03:15:00,2.28,11.3,434.16,7.853,304.72,7.811,1.7458
